receiver,position,team,week,season,receiver_id,target,air_yards,rz_target,receptions,receiving_yards,receiving_touchdowns,ppr_points,adot,catch_rate,ypt,knn_fps
Marquise Brown,WR,KC,1,2025,00-003566200-003566200-003566200-003566200-003566200-003566200-003566200-003566200-003566200-003566200-003566200-003566200-003566200-003566200-003566200-0035662,16,101,3,10,99,0.0,19.9,6.3125,0.6,6.2,27.8
Drake London,WR,ATL,1,2025,00-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-0037238,15,99,2,8,55,0.0,13.5,6.599999905,0.5,3.7,25.6
Malik Nabers,WR,NYG,1,2025,00-003933700-003933700-003933700-003933700-003933700-003933700-003933700-003933700-003933700-003933700-003933700-0039337,12,122,3,5,71,0.0,12.1,10.16666698,0.4,5.9,22.5
CeeDee Lamb,WR,DAL,1,2025,00-003635800-003635800-003635800-003635800-003635800-003635800-003635800-003635800-003635800-003635800-003635800-003635800-0036358,13,182,0,7,110,0.0,18.0,14,0.5,8.5,21.3
Jaxon Smith-Njigba,WR,SEA,1,2025,00-003854300-003854300-003854300-003854300-003854300-003854300-003854300-003854300-003854300-003854300-003854300-003854300-0038543,13,178,0,9,124,0.0,21.4,13.69230747,0.7,9.5,21.1
Keon Coleman,WR,BUF,1,2025,00-003990100-003990100-003990100-003990100-003990100-003990100-003990100-003990100-003990100-003990100-0039901,11,132,2,8,112,1.0,25.2,12,0.7,10.2,20.5
Chris Olave,WR,NO,1,2025,00-003723900-003723900-003723900-003723900-003723900-003723900-003723900-003723900-003723900-003723900-003723900-003723900-0037239,13,97,1,7,54,0.0,12.4,7.461538315,0.5,4.2,20.5
Juwan Johnson,TE,NO,1,2025,00-003604000-003604000-003604000-003604000-003604000-003604000-003604000-003604000-003604000-003604000-0036040,11,89,2,8,76,0.0,15.6,8.090909004,0.7,6.9,18.7
Deebo Samuel Sr.,WR,WAS,1,2025,00-003571900-003571900-003571900-003571900-003571900-003571900-003571900-003571900-003571900-0035719,10,80,0,7,77,0.0,14.7,8,0.7,7.7,17.7
Puka Nacua,WR,LA,1,2025,00-003907500-003907500-003907500-003907500-003907500-003907500-003907500-003907500-003907500-003907500-0039075,11,98,0,10,130,0.0,23.0,8.909090996,0.9,11.8,17.6
