season,week,player,carries,goal_line_carry,rush_yards,rush_touchdowns,targets,air_yards,knn_rush_fps,knn_rec_fps,knn_fps,actual_fps,Team
2025,1,David Montgomery,11,0,25,0,4,4,5.6,6.1,11.7,8.3,DET
2025,1,Dameon Pierce,3,0,5,0,1,-4,1.4,1.3,2.8,0.5,HOU
2025,1,Alvin Kamara,11,1,45,1,2,-3,6.4,2.9,9.3,13.7,NO
2025,1,Zamir White,3,0,8,0,0,0,1.3,0.0,1.3,0.8,LV
2025,1,Chuba Hubbard,16,2,57,0,5,-14,9.5,6.7,16.2,17.9,CAR
2025,1,Kenneth Gainwell,7,0,19,0,4,-10,3.3,5.4,8.7,5.3,PIT
2025,1,Devin Singletary,3,0,9,0,0,0,1.3,0.0,1.3,0.9,NYG
2025,1,Kyle Juszczyk,0,0,0,0,2,22,0.0,3.8,3.8,5.2,SF
2025,1,Bhayshul Tuten,3,0,11,0,0,0,2.6,0.0,2.6,1.1,JAX
2025,1,Kyren Williams,18,2,66,1,2,-12,12.3,2.7,15.0,13.9,LA
2025,1,Tony Pollard,18,1,60,0,1,-1,8.6,1.4,9.9,9.9,TEN
2025,1,Braelon Allen,6,1,9,1,0,0,2.9,0.0,2.9,6.9,NYJ
2025,1,J.K. Dobbins,16,1,63,1,2,-3,9.7,3.0,12.8,14.8,DEN
2025,1,AJ Dillon,3,0,10,0,0,0,1.8,0.0,1.8,1.0,PHI
2025,1,Blake Corum,1,0,2,0,1,-2,0.5,1.6,2.1,2.6,LA
2025,1,Samaje Perine,0,0,0,0,2,2,0.0,3.2,3.2,2.6,CIN
2025,1,Jaylen Warren,11,2,37,0,2,3,8.0,4.4,12.4,13.9,PIT
2025,1,LeQuint Allen Jr.,1,0,7,0,1,-4,0.6,1.7,2.3,2.1,JAX
2025,1,Ty Johnson,2,0,24,0,2,9,0.8,3.5,4.4,2.4,BUF
2025,1,Jacory Croskey-Merritt,10,1,82,1,1,-5,6.5,1.4,7.9,14.2,WAS
2025,1,Isiah Pacheco,5,0,25,0,3,-12,3.1,4.3,7.4,4.8,KC
2025,1,Tyler Badie,0,0,0,0,6,18,0.0,10.3,10.3,3.6,DEN
2025,1,Rico Dowdle,3,0,12,0,3,-1,1.3,4.2,5.4,3.6,CAR
2025,1,Ulysses Bentley IV,1,0,0,0,0,0,0.5,0.0,0.5,0.0,IND
2025,1,Tyrone Tracy Jr.,10,0,24,0,5,-1,4.5,6.6,11.1,5.5,NYG
2025,1,Emanuel Wilson,1,0,4,0,0,0,0.5,0.0,0.5,0.4,GB
2025,1,Adam Prentice,0,0,0,0,1,0,0.0,1.4,1.4,1.4,DEN
2025,1,Cam Skattebo,2,1,-3,0,2,1,2.9,2.8,5.7,2.9,NYG
2025,1,Travis Etienne,16,0,143,0,3,-10,9.2,4.4,13.5,18.6,JAX
2025,1,Trevor Etienne,1,0,4,0,0,0,0.5,0.0,0.5,0.4,CAR
2025,1,Devin Neal,2,0,9,0,0,0,0.9,0.0,0.9,0.9,NO
2025,1,Aaron Jones,8,0,23,0,3,21,3.8,5.4,9.2,15.7,MIN
2025,1,Kendre Miller,5,0,24,0,0,0,2.3,0.0,2.3,2.4,NO
2025,1,Tank Bigsby,5,0,12,0,0,0,3.2,0.0,3.2,1.2,JAX
2025,1,Bucky Irving,14,1,37,0,4,-5,6.6,6.8,13.4,14.5,TB
2025,1,Sean Tucker,1,0,2,0,0,0,0.5,0.0,0.5,0.2,TB
2025,1,Trey Benson,8,1,69,0,1,-2,4.7,1.7,6.4,8.5,ARI
2025,1,DJ Giddens,12,1,41,0,0,0,8.9,0.0,8.9,4.1,IND
2025,1,Saquon Barkley,18,4,60,1,5,-5,13.3,8.1,21.4,18.4,PHI
2025,1,Jeremy McNichols,4,0,25,0,0,0,2.2,0.0,2.2,2.5,WAS
2025,1,Omarion Hampton,15,0,48,0,2,-4,8.2,2.8,11.0,8.1,LAC
2025,1,James Cook,13,2,44,1,5,-6,10.5,7.5,18.0,21.2,BUF
2025,1,Bijan Robinson,12,2,24,0,7,-9,9.4,10.3,19.7,24.4,ATL
2025,1,Christian McCaffrey,22,3,69,0,10,20,14.5,16.1,30.6,23.2,SF
2025,1,Will Shipley,3,0,26,0,0,0,1.7,0.0,1.7,2.6,PHI
2025,1,Woody Marks,3,0,3,0,0,0,1.2,0.0,1.2,0.3,HOU
