player,position,team,week,season,knn_fps
Marquise Brown,WR,KC,1,2025,27.8
Drake London,WR,ATL,1,2025,25.6
Malik Nabers,WR,NYG,1,2025,22.5
CeeDee Lamb,WR,DAL,1,2025,21.3
Jaxon Smith-Njigba,WR,SEA,1,2025,21.1
Keon Coleman,WR,BUF,1,2025,20.5
Chris Olave,WR,NO,1,2025,20.5
Juwan Johnson,TE,NO,1,2025,18.7
Deebo Samuel Sr.,WR,WAS,1,2025,17.7
Puka Nacua,WR,LA,1,2025,17.6
Josh Palmer,WR,BUF,1,2025,17
Courtland Sutton,WR,DEN,1,2025,16.4
Keenan Allen,WR,LAC,1,2025,16.1
Zay Flowers,WR,BAL,1,2025,16
Tyler Warren,TE,IND,1,2025,15.8
Quentin Johnston,WR,LAC,1,2025,15.6
Jakobi Meyers,WR,LV,1,2025,15.5
Ricky Pearsall,WR,SF,1,2025,15.3
Ladd McConkey,WR,LAC,1,2025,15.2
Rome Odunze,WR,CHI,1,2025,15.1
Khalil Shakir,WR,BUF,1,2025,14.8
Kayshon Boutte,WR,NE,1,2025,14.8
Rashid Shaheed,WR,NO,1,2025,14.8
Harold Fannin Jr.,TE,CLE,1,2025,14.7
Hunter Henry,TE,NE,1,2025,14.5
Tetairoa McMillan,WR,CAR,1,2025,14.3
Sam LaPorta,TE,DET,1,2025,14.3
Trey McBride,TE,ARI,1,2025,14.1
Mike Evans,WR,TB,1,2025,14
DeMario Douglas,WR,NE,1,2025,13.6
Travis Hunter,WR,JAX,1,2025,13.4
Cedric Tillman,WR,CLE,1,2025,13.4
Garrett Wilson,WR,NYJ,1,2025,13.3
Jerry Jeudy,WR,CLE,1,2025,13.2
Marvin Harrison Jr.,WR,ARI,1,2025,13.2
Michael Pittman,WR,IND,1,2025,12.7
Davante Adams,WR,LA,1,2025,12.7
Brock Bowers,TE,LV,1,2025,12.6
Wan'Dale Robinson,WR,NYG,1,2025,12.6
Justin Jefferson,WR,MIN,1,2025,12.5
Brian Thomas Jr.,WR,JAX,1,2025,12.3
Kyle Pitts,TE,ATL,1,2025,12.1
Xavier Legette,WR,CAR,1,2025,11.9
Calvin Ridley,WR,TEN,1,2025,11.7
Elic Ayomanor,WR,TEN,1,2025,11.4
Calvin Austin III,WR,PIT,1,2025,11.3
Emeka Egbuka,WR,TB,1,2025,11.3
Stefon Diggs,WR,NE,1,2025,11.3
Casey Washington,WR,ATL,1,2025,11.1
Jauan Jennings,WR,SF,1,2025,10.9
Dallas Goedert,TE,PHI,1,2025,10.8
Amon-Ra St. Brown,WR,DET,1,2025,10.7
Hunter Renfrow,WR,CAR,1,2025,10.5
Tyreek Hill,WR,MIA,1,2025,10.4
Romeo Doubs,WR,GB,1,2025,10.3
Sterling Shepard,WR,TB,1,2025,10.2
Olamide Zaccheaus,WR,CHI,1,2025,10.1
Troy Franklin,WR,DEN,1,2025,10
Noah Fant,TE,CIN,1,2025,10
Jonnu Smith,TE,PIT,1,2025,9.9
Jake Ferguson,TE,DAL,1,2025,9.9
DK Metcalf,WR,PIT,1,2025,9.7
Zach Ertz,TE,WAS,1,2025,9.6
DJ Moore,WR,CHI,1,2025,9.5
Jayden Reed,WR,GB,1,2025,9.3
Ja'Marr Chase,WR,CIN,1,2025,9.3
David Njoku,TE,CLE,1,2025,9.1
Jaylen Waddle,WR,MIA,1,2025,9
Tyquan Thornton,WR,KC,1,2025,8.9
Mike Gesicki,TE,CIN,1,2025,8.5
Michael Wilson,WR,ARI,1,2025,8.1
Tanner Conner,WR,MIA,1,2025,8
Terry McLaurin,WR,WAS,1,2025,8
George Kittle,TE,SF,1,2025,7.9
Nico Collins,WR,HOU,1,2025,7.8
Malik Washington,WR,MIA,1,2025,7.8
Travis Kelce,TE,KC,1,2025,7.8
Dalton Schultz,TE,HOU,1,2025,7.6
Ray-Ray McCloud,WR,ATL,1,2025,7.6
Dalton Kincaid,TE,BUF,1,2025,7.6
Jameson Williams,WR,DET,1,2025,7.5
JuJu Smith-Schuster,WR,KC,1,2025,7.2
Tucker Kraft,TE,GB,1,2025,7.2
Alec Pierce,WR,IND,1,2025,7.1
Dyami Brown,WR,JAX,1,2025,7
Marvin Mims Jr.,WR,DEN,1,2025,7
George Pickens,WR,DAL,1,2025,7
Dont'e Thornton Jr.,WR,LV,1,2025,6.9
Michael Mayer,TE,LV,1,2025,6.9
Tre Tucker,WR,LV,1,2025,6.8
Brenton Strange,TE,JAX,1,2025,6.7
Noah Brown,WR,WAS,1,2025,6.6
Tee Higgins,WR,CIN,1,2025,6.6
Rashod Bateman,WR,BAL,1,2025,6.5
Jake Tonges,TE,SF,1,2025,6.4
Jahan Dotson,WR,PHI,1,2025,6.3
Cole Kmet,TE,CHI,1,2025,6.2
Evan Engram,TE,DEN,1,2025,6
T.J. Hockenson,TE,MIN,1,2025,5.8
Chig Okonkwo,TE,TEN,1,2025,5.6
Brandin Cooks,WR,NO,1,2025,5.5
Theo Johnson,TE,NYG,1,2025,5.5
Cade Stover,TE,HOU,1,2025,5.5
Ja'Tavion Sanders,TE,CAR,1,2025,5.3
Cade Otton,TE,TB,1,2025,5.2
Jayden Higgins,WR,HOU,1,2025,5.1
Jalen Nailor,WR,MIN,1,2025,4.9
Devaughn Vele,WR,NO,1,2025,4.9
Davis Allen,TE,LA,1,2025,4.9
Kalif Raymond,WR,DET,1,2025,4.5
Pat Freiermuth,TE,PIT,1,2025,4.5
DeAndre Hopkins,WR,BAL,1,2025,4.5
