player,position,team,week,season,receiver_id,xFP,actual_FP,target,air_yards,rz_target,receptions,receiving_yards,receiving_touchdowns,carries,rush_yards,rush_touchdowns,goal_line_carry,adot,catch_rate,ypt,fp_diff,games
James Conner,RB,ARI,1,2025,James Conner-ARI,16.8,14.4,4,-15,NA,NA,NA,NA,12,39,0,1,NA,NA,NA,-2.4000000000000004,1
Trey McBride,TE,ARI,1,2025,00-003774400-003774400-003774400-003774400-003774400-003774400-003774400-003774400-0037744,14.1,12.1,9,35,1,6,61,0,0,0,0,0,3.888888836,0.7,6.8,-2,1
Marvin Harrison Jr.,WR,ARI,1,2025,00-003984900-003984900-003984900-003984900-003984900-0039849,13.2,18.1,6,76,1,5,71,1,0,0,0,0,12.66666698,0.8,11.8,4.900000000000002,1
Michael Wilson,WR,ARI,1,2025,00-003855900-003855900-003855900-0038559,8.1,1.5,4,62,0,1,5,0,0,0,0,0,15.5,0.3,1.3,-6.6,1
Trey Benson,RB,ARI,1,2025,Trey Benson-ARI,6.4,8.5,1,-2,NA,NA,NA,NA,8,69,0,1,NA,NA,NA,2.0999999999999996,1
Elijah Higgins,TE,ARI,1,2025,00-003904100-0039041,3,1.3,2,5,1,1,3,0,0,0,0,0,2.5,0.5,1.5,-1.7,1
Tip Reiman,TE,ARI,1,2025,00-0039737,1.5,2,1,5,0,1,10,0,0,0,0,0,5,1,10,0.5,1
Greg Dortch,WR,ARI,1,2025,00-0035500,1.4,0.8,1,-2,0,1,-2,0,0,0,0,0,-2,1,-2,-0.5999999999999999,1
Zay Jones,WR,ARI,1,2025,00-0033891,1.3,1.4,1,2,0,1,4,0,0,0,0,0,2,1,4,0.09999999999999987,1
Drake London,WR,ATL,1,2025,00-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-003723800-0037238,25.6,13.5,15,99,2,8,55,0,0,0,0,0,6.599999905,0.5,3.7,-12.100000000000001,1
Bijan Robinson,RB,ATL,1,2025,Bijan Robinson-ATL,19.7,24.4,7,-9,NA,NA,NA,NA,12,24,0,2,NA,NA,NA,4.699999999999999,1
Kyle Pitts,TE,ATL,1,2025,00-003697000-003697000-003697000-003697000-003697000-003697000-003697000-0036970,12.1,12.9,8,37,0,7,59,0,0,0,0,0,4.625,0.9,7.4,0.8000000000000007,1
Casey Washington,WR,ATL,1,2025,00-003939400-003939400-003939400-003939400-003939400-0039394,11.1,6.3,6,99,0,3,33,0,0,0,0,0,16.5,0.5,5.5,-4.8,1
Ray-Ray McCloud,WR,ATL,1,2025,00-003440700-003440700-003440700-003440700-0034407,7.6,8.1,5,36,0,3,51,0,0,0,0,0,7.199999809,0.6,10.2,0.5,1
Tyler Allgeier,RB,ATL,1,2025,Tyler Allgeier-ATL,7,2.4,0,0,NA,NA,NA,NA,10,24,0,2,NA,NA,NA,-4.6,1
KhaDarel Hodge,WR,ATL,1,2025,00-0034854,2.8,0,1,26,0,0,0,0,0,0,0,0,26,0,0,-2.8,1
Zay Flowers,WR,BAL,1,2025,00-003906400-003906400-003906400-003906400-003906400-003906400-003906400-003906400-0039064,16,27.3,9,91,0,7,143,1,0,0,0,0,10.11111069,0.8,15.9,11.3,1
Derrick Henry,RB,BAL,1,2025,Derrick Henry-BAL,11.6,31.2,1,5,NA,NA,NA,NA,18,169,2,0,NA,NA,NA,19.6,1
Rashod Bateman,WR,BAL,1,2025,00-003655000-003655000-003655000-0036550,6.5,3,4,42,0,2,10,0,0,0,0,0,10.5,0.5,2.5,-3.5,1
DeAndre Hopkins,WR,BAL,1,2025,00-003056400-0030564,4.5,11.5,2,33,0,2,35,1,0,0,0,0,16.5,1,17.5,7,1
Justice Hill,RB,BAL,1,2025,Justice Hill-BAL,4.2,-0.1,2,-2,NA,NA,NA,NA,2,-14,0,0,NA,NA,NA,-4.3,1
Mark Andrews,TE,BAL,1,2025,00-0034753,1.5,1.5,1,4,0,1,5,0,0,0,0,0,4,1,5,0,1
Rasheen Ali,RB,BAL,1,2025,Rasheen Ali-BAL,0.7,0.5,0,0,NA,NA,NA,NA,1,5,0,0,NA,NA,NA,-0.19999999999999996,1
Keon Coleman,WR,BUF,1,2025,00-003990100-003990100-003990100-003990100-003990100-003990100-003990100-003990100-003990100-003990100-0039901,20.5,25.2,11,132,2,8,112,1,0,0,0,0,12,0.7,10.2,4.699999999999999,1
James Cook,RB,BUF,1,2025,James Cook-BUF,18,21.2,5,-6,NA,NA,NA,NA,13,44,1,2,NA,NA,NA,3.1999999999999993,1
Josh Palmer,WR,BUF,1,2025,00-003698800-003698800-003698800-003698800-003698800-003698800-003698800-003698800-0036988,17,11.1,9,115,2,5,61,0,0,0,0,0,12.77777767,0.6,6.8,-5.9,1
Khalil Shakir,WR,BUF,1,2025,00-003726100-003726100-003726100-003726100-003726100-003726100-003726100-003726100-0037261,14.8,12.4,9,85,2,6,64,0,0,0,0,0,9.444444656,0.7,7.1,-2.4000000000000004,1
Dalton Kincaid,TE,BUF,1,2025,00-003893300-003893300-003893300-0038933,7.6,14.8,4,40,1,4,48,1,0,0,0,0,10,1,12,7.200000000000001,1
Ty Johnson,RB,BUF,1,2025,Ty Johnson-BUF,4.4,2.4,2,9,NA,NA,NA,NA,2,24,0,0,NA,NA,NA,-2.0000000000000004,1
Dawson Knox,TE,BUF,1,2025,00-003568900-0035689,3,4,2,3,0,2,20,0,0,0,0,0,1.5,1,10,1,1
Jackson Hawes,TE,BUF,1,2025,00-0040194,2.5,3.9,1,26,0,1,29,0,0,0,0,0,26,1,29,1.4,1
Ray Davis,RB,BUF,1,2025,Ray Davis-BUF,2.1,1.1,1,-7,NA,NA,NA,NA,1,2,0,0,NA,NA,NA,-1,1
Elijah Moore,WR,BUF,1,2025,00-0036980,1.4,1.3,1,3,0,1,3,0,0,0,0,0,3,1,3,-0.09999999999999987,1
Chuba Hubbard,RB,CAR,1,2025,Chuba Hubbard-CAR,16.2,17.9,5,-14,NA,NA,NA,NA,16,57,0,2,NA,NA,NA,1.6999999999999993,1
Tetairoa McMillan,WR,CAR,1,2025,00-004012400-004012400-004012400-004012400-004012400-004012400-004012400-004012400-0040124,14.3,11.8,9,104,0,5,68,0,0,0,0,0,11.55555534,0.6,7.6,-2.5,1
Xavier Legette,WR,CAR,1,2025,00-003934200-003934200-003934200-003934200-003934200-003934200-0039342,11.9,4,7,61,1,3,10,0,0,0,0,0,8.714285851,0.4,1.4,-7.9,1
Hunter Renfrow,WR,CAR,1,2025,00-003498300-003498300-003498300-003498300-003498300-0034983,10.5,3.1,6,66,0,2,11,0,0,0,0,0,11,0.3,1.8,-7.4,1
Rico Dowdle,RB,CAR,1,2025,Rico Dowdle-CAR,5.4,3.6,3,-1,NA,NA,NA,NA,3,12,0,0,NA,NA,NA,-1.8000000000000003,1
Ja'Tavion Sanders,TE,CAR,1,2025,00-003935600-003935600-0039356,5.3,4.7,3,41,0,2,27,0,0,0,0,0,13.66666698,0.7,9,-0.5999999999999996,1
Tommy Tremble,TE,CAR,1,2025,00-0037005,1.2,1.2,1,0,0,1,2,0,0,0,0,0,0,1,2,0,1
Trevor Etienne,RB,CAR,1,2025,Trevor Etienne-CAR,0.5,0.4,0,0,NA,NA,NA,NA,1,4,0,0,NA,NA,NA,-0.09999999999999998,1
D'Andre Swift,RB,CHI,1,2025,D'Andre Swift-CHI,16.8,9.5,5,-3,NA,NA,NA,NA,17,53,0,1,NA,NA,NA,-7.300000000000001,1
Rome Odunze,WR,CHI,1,2025,00-003991900-003991900-003991900-003991900-003991900-003991900-003991900-003991900-0039919,15.1,16.8,9,55,1,6,48,1,0,0,0,0,6.111111164,0.7,5.3,1.700000000000001,1
Olamide Zaccheaus,WR,CHI,1,2025,00-003520800-003520800-003520800-003520800-003520800-003520800-0035208,10.1,8.2,7,59,1,4,42,0,0,0,0,0,8.428571701,0.6,6,-1.9000000000000004,1
DJ Moore,WR,CHI,1,2025,00-003482700-003482700-003482700-003482700-0034827,9.5,8.7,5,94,0,3,57,0,0,0,0,0,18.799999239999998,0.6,11.4,-0.8000000000000007,1
Cole Kmet,TE,CHI,1,2025,00-003629000-003629000-003629000-0036290,6.2,4.1,4,57,0,1,31,0,0,0,0,0,14.25,0.3,7.8,-2.1000000000000005,1
