player,position,team,week,season,receiver_id,xFP,actual_FP,target,air_yards,rz_target,receptions,receiving_yards,receiving_touchdowns,carries,rush_yards,rush_touchdowns,goal_line_carry,adot,catch_rate,ypt,fp_diff,games
James Conner,RB,ARI,1,2025,James Conner-ARI,17.177499771118164,14.399999618530273,4,-15,NA,NA,NA,NA,12,39,0,1,NA,NA,NA,-2.7775001525878906,1
Trey McBride,TE,ARI,1,2025,00-0037744,14.172,12.09999942779541,9,35,1,6,61,0,0,0,0,0,3.8888888359069824,0.6666666865348816,6.777777671813965,-2.0720005722045904,1
Marvin Harrison Jr.,WR,ARI,1,2025,00-0039849,12.916,18.100000381469727,6,76,1,5,71,1,0,0,0,0,12.666666984558105,0.8333333134651184,11.833333015441895,5.184000381469726,1
Michael Wilson,WR,ARI,1,2025,00-0038559,8.1335,1.5,4,62,0,1,5,0,0,0,0,0,15.5,0.25,1.25,-6.6335,1
Trey Benson,RB,ARI,1,2025,Trey Benson-ARI,6.348999977111816,8.500000953674316,1,-2,NA,NA,NA,NA,8,69,0,1,NA,NA,NA,2.1510009765625,1
Elijah Higgins,TE,ARI,1,2025,00-0039041,2.9565,1.2999999523162842,2,5,1,1,3,0,0,0,0,0,2.5,0.5,1.5,-1.656500047683716,1
Tip Reiman,TE,ARI,1,2025,00-0039737,1.5315001,2,1,5,0,1,10,0,0,0,0,0,5,1,10,0.4684999000000001,1
Greg Dortch,WR,ARI,1,2025,00-0035500,1.4715,0.800000011920929,1,-2,0,1,-2,0,0,0,0,0,-2,1,-2,-0.6714999880790711,1
Zay Jones,WR,ARI,1,2025,00-0033891,1.3105,1.399999976158142,1,2,0,1,4,0,0,0,0,0,2,1,4,0.08949997615814209,1
Trey Benson,RB,ARI,2,2025,Trey Benson-ARI,11.429000854492188,8.399999618530273,6,2,NA,NA,NA,NA,3,14,0,0,NA,NA,NA,-3.029001235961914,1
Trey McBride,TE,ARI,2,2025,00-0037744,11.1970005,13.80000114440918,7,62,0,6,78,0,0,0,0,0,8.857142448425293,0.8571428656578064,11.142857551574707,2.60300064440918,1
James Conner,RB,ARI,2,2025,James Conner-ARI,10.125499725341797,12.199999809265137,1,0,NA,NA,NA,NA,11,34,1,2,NA,NA,NA,2.07450008392334,1
Marvin Harrison Jr.,WR,ARI,2,2025,00-0039849,9.675,4.699999809265137,5,27,2,2,27,0,0,0,0,0,5.400000095367432,0.4000000059604645,5.400000095367432,-4.975000190734864,1
Elijah Higgins,TE,ARI,2,2025,00-0039041,6.9544997,6.5,3,15,1,2,45,0,0,0,0,0,5,0.6666666865348816,15,-0.4544997000000004,1
Michael Wilson,WR,ARI,2,2025,00-0038559,4.6695,8.100000381469727,2,43,1,1,11,1,0,0,0,0,21.5,0.5,5.5,3.4305003814697264,1
Greg Dortch,WR,ARI,2,2025,00-0035500,1.6515,2.0999999046325684,1,11,0,1,11,0,0,0,0,0,11,1,11,0.4484999046325684,1
Trey McBride,TE,ARI,3,2025,00-0037744,16.437,15.300000190734863,8,28,2,5,43,1,0,0,0,0,3.5,0.625,5.375,-1.1369998092651379,1
Trey Benson,RB,ARI,3,2025,Trey Benson-ARI,12.624000549316406,8.100000381469727,4,-12,NA,NA,NA,NA,10,42,0,1,NA,NA,NA,-4.52400016784668,1
James Conner,RB,ARI,3,2025,James Conner-ARI,11.214500427246094,6.699999809265137,4,6,NA,NA,NA,NA,9,22,0,0,NA,NA,NA,-4.514500617980957,1
Marvin Harrison Jr.,WR,ARI,3,2025,00-0039849,9.646,7.399999618530273,6,90,0,3,44,0,0,0,0,0,15,0.5,7.333333492279053,-2.2460003814697274,1
Zay Jones,WR,ARI,3,2025,00-0033891,4.9740005,4.5,3,37,0,2,25,0,0,0,0,0,12.333333015441895,0.6666666865348816,8.333333015441895,-0.4740004999999998,1
Tip Reiman,TE,ARI,3,2025,00-0039737,4.353,2.8000001907348633,3,12,0,2,8,0,0,0,0,0,4,0.6666666865348816,2.6666667461395264,-1.5529998092651365,1
Emari Demercado,RB,ARI,3,2025,Emari Demercado-ARI,3.4230000972747803,0,1,1,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,-3.4230000972747803,1
Michael Wilson,WR,ARI,3,2025,00-0038559,3.1130002,1.5,2,17,0,1,5,0,0,0,0,0,8.5,0.5,2.5,-1.6130002,1
Greg Dortch,WR,ARI,3,2025,00-0035500,2.3125,2.3000001907348633,2,-5,0,2,3,0,0,0,0,0,-2.5,1,1.5,-0.012499809265136719,1
Elijah Higgins,TE,ARI,3,2025,00-0039041,1.5335,1.7000000476837158,1,5,0,1,7,0,0,0,0,0,5,1,7,0.16650004768371574,1
Trey McBride,TE,ARI,4,2025,00-0037744,18.207,12.199999809265137,11,79,1,7,52,0,0,0,0,0,7.181818008422852,0.6363636255264282,4.7272725105285645,-6.007000190734864,1
Marvin Harrison Jr.,WR,ARI,4,2025,00-0039849,16.437,18.600000381469727,10,99,1,6,66,1,0,0,0,0,9.899999618530273,0.6000000238418579,6.599999904632568,2.1630003814697254,1
Trey Benson,RB,ARI,4,2025,Trey Benson-ARI,11.22249984741211,10.399999618530273,5,-10,NA,NA,NA,NA,8,35,0,0,NA,NA,NA,-0.8225002288818359,1
Michael Wilson,WR,ARI,4,2025,00-0038559,8.643,4.5,6,45,0,3,15,0,0,0,0,0,7.5,0.5,2.5,-4.143000000000001,1
Greg Dortch,WR,ARI,4,2025,00-0035500,7.0889997,7.5,5,-7,2,4,35,0,0,0,0,0,-1.399999976158142,0.800000011920929,7,0.41100030000000043,1
Emari Demercado,RB,ARI,4,2025,Emari Demercado-ARI,5.3445000648498535,10.100000381469727,2,-8,NA,NA,NA,NA,2,8,0,1,NA,NA,NA,4.755500316619873,1
Xavier Weaver,WR,ARI,4,2025,00-0039521,2.677,0,1,27,0,0,0,0,0,0,0,0,27,0,0,-2.677,1
Michael Carter,RB,ARI,4,2025,Michael Carter-ARI,0.44999998807907104,0.10000000149011612,0,0,NA,NA,NA,NA,1,1,0,0,NA,NA,NA,-0.3499999865889549,1
Michael Carter,RB,ARI,5,2025,Michael Carter-ARI,17.898000717163086,18.299999237060547,5,-1,NA,NA,NA,NA,18,51,1,1,NA,NA,NA,0.40199851989746094,1
Trey McBride,TE,ARI,5,2025,00-0037744,13.655,9.100000381469727,7,44,1,5,41,0,0,0,0,0,6.285714149475098,0.7142857313156128,5.857142925262451,-4.554999618530273,1
Marvin Harrison Jr.,WR,ARI,5,2025,00-0039849,9.2175,13.800000190734863,5,95,0,4,98,0,0,0,0,0,19,0.800000011920929,19.600000381469727,4.582500190734864,1
Michael Wilson,WR,ARI,5,2025,00-0038559,7.049,3.5999999046325684,4,45,0,2,16,0,0,0,0,0,11.25,0.5,4,-3.449000095367432,1
Bam Knight,RB,ARI,5,2025,Bam Knight-ARI,6.326999664306641,9.399999618530273,1,0,NA,NA,NA,NA,4,11,1,1,NA,NA,NA,3.072999954223633,1
Zay Jones,WR,ARI,5,2025,00-0033891,4.7545,2.799999952316284,3,35,0,2,8,0,0,0,0,0,11.666666984558105,0.6666666865348816,2.6666667461395264,-1.954500047683716,1
Greg Dortch,WR,ARI,5,2025,00-0035500,2.7915,3.1999998092651367,2,-6,1,2,12,0,0,0,0,0,-3,1,6,0.4084998092651366,1
Elijah Higgins,TE,ARI,5,2025,00-0039041,2.757,3,2,-4,0,2,10,0,0,0,0,0,-2,1,5,0.24299999999999988,1
Emari Demercado,RB,ARI,5,2025,Emari Demercado-ARI,1.5795000791549683,8.100000381469727,0,0,NA,NA,NA,NA,3,81,0,0,NA,NA,NA,6.520500302314758,1
Tip Reiman,TE,ARI,5,2025,00-0039737,1.5205,0,1,9,0,0,0,0,0,0,0,0,9,0,0,-1.5205,1
Trey McBride,TE,ARI,6,2025,00-0037744,24.0125,21.200000762939453,11,89,5,8,72,1,0,0,0,0,8.090909004211426,0.7272727489471436,6.545454502105713,-2.812499237060546,1
Michael Carter,RB,ARI,6,2025,Michael Carter-ARI,13.335500717163086,8.399999618530273,5,44,NA,NA,NA,NA,9,34,0,0,NA,NA,NA,-4.9355010986328125,1
Zay Jones,WR,ARI,6,2025,00-0033891,12.8945,12.899999618530273,8,108,1,5,79,0,0,0,0,0,13.5,0.625,9.875,0.0054996185302726985,1
Bam Knight,RB,ARI,6,2025,Bam Knight-ARI,10.631500244140625,12.399999618530273,2,6,NA,NA,NA,NA,11,34,1,3,NA,NA,NA,1.7684993743896484,1
Michael Wilson,WR,ARI,6,2025,00-0038559,8.775001,8.399999618530273,5,42,1,4,44,0,0,0,0,0,8.399999618530273,0.800000011920929,8.800000190734863,-0.37500138146972617,1
Greg Dortch,WR,ARI,6,2025,00-0035500,4.4775,9.899999618530273,3,2,2,3,9,1,0,0,0,0,0.6666666865348816,1,3,5.422499618530273,1
Marvin Harrison Jr.,WR,ARI,6,2025,00-0039849,3.0825,5.199999809265137,2,25,0,2,32,0,0,0,0,0,12.5,1,16,2.1174998092651367,1
Elijah Higgins,TE,ARI,6,2025,00-0039041,3.0300002,5.400000095367432,2,15,0,2,34,0,0,0,0,0,7.5,1,17,2.3699998953674317,1
Emari Demercado,RB,ARI,6,2025,Emari Demercado-ARI,2.299499988555908,0.10000000149011612,1,1,NA,NA,NA,NA,1,1,0,1,NA,NA,NA,-2.199499987065792,1
Trey McBride,TE,ARI,7,2025,00-0037744,22.4595,29.399999618530273,13,78,3,10,74,2,0,0,0,0,6,0.7692307829856873,5.692307472229004,6.940499618530275,1
Bam Knight,RB,ARI,7,2025,Bam Knight-ARI,13.814000129699707,9.40000057220459,4,-2,NA,NA,NA,NA,14,57,0,2,NA,NA,NA,-4.413999557495117,1
Marvin Harrison Jr.,WR,ARI,7,2025,00-0039849,11.245501,7.800000190734863,6,115,0,2,58,0,0,0,0,0,19.16666603088379,0.3333333432674408,9.666666984558105,-3.4455008092651376,1
Michael Wilson,WR,ARI,7,2025,00-0038559,7.3395004,7,4,35,1,3,40,0,0,0,0,0,8.75,0.75,10,-0.33950040000000037,1
Michael Carter,RB,ARI,7,2025,Michael Carter-ARI,6.131999969482422,5.599999904632568,2,5,NA,NA,NA,NA,7,11,0,0,NA,NA,NA,-0.5320000648498535,1
Zay Jones,WR,ARI,7,2025,00-0033891,3.2250001,8.700000762939453,2,56,0,2,67,0,0,0,0,0,28,1,33.5,5.475000662939453,1
Greg Dortch,WR,ARI,7,2025,00-0035500,2.404,2.5,2,-6,0,2,5,0,0,0,0,0,-3,1,2.5,0.09600000000000009,1
Elijah Higgins,TE,ARI,7,2025,00-0039041,1.1735001,1.2999999523162842,1,-6,0,1,3,0,0,0,0,0,-6,1,3,0.12649985231628413,1
Marvin Harrison Jr.,WR,ARI,9,2025,00-0039849,19.7175,22.600000381469727,10,108,2,7,96,1,0,0,0,0,10.800000190734863,0.699999988079071,9.600000381469727,2.8825003814697254,1
Trey McBride,TE,ARI,9,2025,00-0037744,17.907,16.5,9,91,3,5,55,1,0,0,0,0,10.11111068725586,0.5555555820465088,6.111111164093018,-1.407,1
Bam Knight,RB,ARI,9,2025,Bam Knight-ARI,13.121999740600586,6.699999809265137,2,-3,NA,NA,NA,NA,9,27,0,3,NA,NA,NA,-6.421999931335449,1
Emari Demercado,RB,ARI,9,2025,Emari Demercado-ARI,9.532999038696289,8.800000190734863,1,-1,NA,NA,NA,NA,14,79,0,1,NA,NA,NA,-0.7329988479614258,1
Michael Wilson,WR,ARI,9,2025,00-0038559,7.2924995,9.100000381469727,4,49,0,3,61,0,0,0,0,0,12.25,0.75,15.25,1.8075008814697267,1
Elijah Higgins,TE,ARI,9,2025,00-0039041,4.1435,6,3,6,0,3,30,0,0,0,0,0,2,1,10,1.8564999999999996,1
Trey McBride,TE,ARI,10,2025,00-0037744,23.9445,27.700000762939453,13,100,3,9,127,1,0,0,0,0,7.692307472229004,0.692307710647583,9.769230842590332,3.7555007629394517,1
Marvin Harrison Jr.,WR,ARI,10,2025,00-0039849,22.807,12.300000190734863,12,138,4,3,33,1,0,0,0,0,11.5,0.25,2.75,-10.506999809265135,1
Bam Knight,RB,ARI,10,2025,Bam Knight-ARI,13.866499900817871,4.300000190734863,4,20,NA,NA,NA,NA,10,28,0,1,NA,NA,NA,-9.566499710083008,1
Michael Wilson,WR,ARI,10,2025,00-0038559,12.618,7.400000095367432,7,36,3,4,34,0,0,0,0,0,5.142857074737549,0.5714285969734192,4.857142925262451,-5.217999904632569,1
Emari Demercado,RB,ARI,10,2025,Emari Demercado-ARI,9.449000358581543,13.399999618530273,4,3,NA,NA,NA,NA,4,64,0,1,NA,NA,NA,3.9509992599487305,1
Elijah Higgins,TE,ARI,10,2025,00-0039041,4.9690003,3.9000000953674316,3,24,1,2,19,0,0,0,0,0,8,0.6666666865348816,6.333333492279053,-1.0690002046325686,1
Zay Jones,WR,ARI,10,2025,00-0033891,3.3154998,0,1,3,1,0,0,0,0,0,0,0,3,0,0,-3.3154998,1
Michael Carter,RB,ARI,10,2025,Michael Carter-ARI,1.7615000009536743,0.4000000059604645,0,0,NA,NA,NA,NA,3,4,0,1,NA,NA,NA,-1.3614999949932098,1
Michael Wilson,WR,ARI,11,2025,00-0038559,29.621,33.5,18,240,0,15,185,0,0,0,0,0,13.333333015441895,0.8333333134651184,10.277777671813965,3.8790000000000013,1
Trey McBride,TE,ARI,11,2025,00-0037744,18.122,27.5,11,70,2,10,115,1,0,0,0,0,6.363636493682861,0.9090909361839294,10.454545021057129,9.378,1
Michael Carter,RB,ARI,11,2025,Michael Carter-ARI,13.067000389099121,7.800000190734863,7,3,NA,NA,NA,NA,2,6,0,0,NA,NA,NA,-5.267000198364258,1
Greg Dortch,WR,ARI,11,2025,00-0035500,10.4635,18.599998474121094,6,25,2,6,66,1,0,0,0,0,4.166666507720947,1,11,8.136498474121094,1
Bam Knight,RB,ARI,11,2025,Bam Knight-ARI,8.524999618530273,14.5,4,-3,NA,NA,NA,NA,5,24,1,1,NA,NA,NA,5.975000381469727,1
Emari Demercado,RB,ARI,11,2025,Emari Demercado-ARI,6.729000091552734,4,3,-12,NA,NA,NA,NA,5,8,0,0,NA,NA,NA,-2.7290000915527344,1
Elijah Higgins,TE,ARI,11,2025,00-0039041,5.8459997,3.0999999046325684,3,8,1,2,11,0,0,0,0,0,2.6666667461395264,0.6666666865348816,3.6666667461395264,-2.7459997953674318,1
Xavier Weaver,WR,ARI,11,2025,00-0039521,4.7585,3.5,3,35,1,2,15,0,0,0,0,0,11.666666984558105,0.6666666865348816,5,-1.2584999999999997,1
Andre Baccellia,WR,ARI,11,2025,00-0035876,1.6880001,1.5,1,5,1,1,5,0,0,0,0,0,5,1,5,-0.1880001,1
Michael Wilson,WR,ARI,12,2025,00-0038559,25.461,21.799999237060547,15,153,2,10,118,0,0,0,0,0,10.199999809265137,0.6666666865348816,7.866666793823242,-3.6610007629394516,1
Bam Knight,RB,ARI,12,2025,Bam Knight-ARI,15.787500381469727,13.200000762939453,5,-13,NA,NA,NA,NA,10,12,1,2,NA,NA,NA,-2.5874996185302734,1
